7,6,2,8,3,4,0,1,5
1,2,0,3,4,5,6,7,8
1,2,5,0,3,4,6,7,8
1,2,5,6,3,4,0,7,8
1,2,5,6,3,4,7,8,0
7,2,5,4,6,1,3,0,8
7,2,5,0,4,1,3,6,8
7,6,2,3,0,4,8,1,5
0,2,5,7,4,1,3,6,8
2,5,0,7,4,1,3,6,8
7,2,5,4,6,1,0,3,8
2,5,0,7,4,1,3,6,8
7,6,2,3,4,0,8,1,5
0,7,2,3,6,4,8,1,5
7,2,0,3,6,4,8,1,5
5,1,8,2,7,3,4,0,6
5,1,8,2,7,3,0,4,6
5,1,8,2,7,3,4,6,0
5,8,1,6,7,3,4,0,2
5,8,7,0,4,1,6,2,3
5,8,1,6,7,3,0,4,2
5,8,1,6,7,3,4,2,0
0,8,7,5,4,1,6,2,3
5,8,7,4,1,3,0,6,2
5,8,7,4,1,3,6,0,2
5,8,1,0,7,3,6,4,2
0,8,1,5,7,3,6,4,2
8,0,1,5,7,3,6,4,2
8,7,1,5,4,3,6,0,2
5,8,7,4,0,1,6,2,3
5,8,7,4,1,3,6,0,2
7,5,8,3,0,6,1,2,4
2,5,8,4,3,7,0,1,6 
2,3,5,0,4,6,1,7,8
2,3,5,1,4,6,7,8,0
2,3,5,1,4,6,7,0,8
2,3,5,1,4,6,0,7,8
2,5,8,4,3,7,1,0,6
2,5,8,4,3,7,1,6,0
5,8,1,2,7,3,6,4,0
5,8,1,2,7,3,6,0,4 
7,2,5,4,0,1,3,6,8 
7,5,0,4,2,1,3,6,8  
5,8,7,4,1,3,6,2,0 
1,2,5,6,3,4,7,8,0 
7,2,5,4,6,0,1,3,8 
7,2,5,4,0,6,1,3,8 
7,6,2,8,3,4,1,0,5 
7,6,2,8,3,4,1,5,0 
7,6,2,8,3,0,1,5,4

